r,eta,M,var,rate_per_mode
0.5,0.3,1,0.06223573091439938,0.4641108947522057
0.5,0.3,2,0.07438115407878731,0.4641108947522057
0.5,0.3,4,0.05326662898555039,0.4641108947522057
0.5,0.3,8,0.013806064528328995,0.4641108947522057
0.5,0.3,16,0.0004833205656934841,0.4641108947522057
0.5,0.3,32,3.4222880990877443e-07,0.4641108947522057
0.5,0.3,50,8.309720398495571e-11,0.4641108947522057
0.5,0.4,1,0.07966348850274707,0.5658984344997642
0.5,0.4,2,0.08412751133965518,0.5658984344997642
0.5,0.4,4,0.04717695404674324,0.5658984344997642
0.5,0.4,8,0.007584891059463337,0.5658984344997642
0.5,0.4,16,0.00010647054376921646,0.5658984344997642
0.5,0.4,32,1.3552274941303903e-08,0.5658984344997642
0.5,0.4,50,5.145705203085786e-13,0.5658984344997642
0.5,0.5,1,0.09341033711835184,0.6666148758233832
0.5,0.5,2,0.08719640900922263,0.6666148758233832
0.5,0.5,4,0.03837099583303791,0.6666148758233832
0.5,0.5,8,0.003861069884811821,0.6666148758233832
0.5,0.5,16,2.238969417132321e-05,0.6666148758233832
0.5,0.5,32,5.433341667832035e-10,0.6666148758233832
0.5,0.5,50,3.3467475599917776e-15,0.6666148758233832
0.5,0.6,1,0.10315512997326892,0.7783422335001211
0.5,0.6,2,0.08408979392136809,0.7783422335001211
0.5,0.6,4,0.028386871782278503,0.7783422335001211
0.5,0.6,8,0.001717832374479852,0.7783422335001211
0.5,0.6,16,3.837537243795555e-06,0.7783422335001211
0.5,0.6,32,1.5237792110445235e-11,0.7783422335001211
0.5,0.6,50,1.254618977213289e-17,0.7783422335001211
0.5,0.7,1,0.10796832794950295,0.9174435478944877
0.5,0.7,2,0.07461798579812862,0.9174435478944877
0.5,0.7,4,0.018254921750392717,0.9174435478944877
0.5,0.7,8,0.0005971098201899756,0.9174435478944877
0.5,0.7,16,4.189188736257563e-07,0.9174435478944877
0.5,0.7,32,1.7777896173787348e-13,0.9174435478944877
0.5,0.7,50,1.1966480072302087e-20,0.9174435478944877
0.5,0.8,1,0.10647240535641397,1.1113725359651605
0.5,0.8,2,0.058745241903388756,1.1113725359651605
0.5,0.8,4,0.009274552738193135,1.1113725359651605
0.5,0.8,8,0.00013158880480845027,1.1113725359651605
0.5,0.8,16,1.890412076887857e-08,1.1113725359651605
0.5,0.8,32,3.587432039576363e-16,1.1113725359651605
0.5,0.8,50,7.359562759772243e-25,1.1113725359651605
0.5,0.9,1,0.0982874051995721,1.4108862992791125
0.5,0.9,2,0.038289488772444716,1.4108862992791125
0.5,0.9,4,0.0030903932284446784,1.4108862992791125
0.5,0.9,8,1.2331277626929681e-05,1.4108862992791125
0.5,0.9,16,1.570523972342943e-10,1.4108862992791125
0.5,0.9,32,2.467832450422575e-20,1.4108862992791125
0.5,0.9,50,2.306711503839988e-31,1.4108862992791125
0.5,1.0,1,0.09283676413533037,1.869303676100284
0.5,1.0,2,0.020017952724398633,1.869303676100284
0.5,1.0,4,0.0005516239501412614,1.869303676100284
0.5,1.0,8,3.199631340651311e-07,1.869303676100284
0.5,1.0,16,1.0250557423124497e-13,1.869303676100284
0.5,1.0,32,1.0507401101068401e-26,1.869303676100284
0.5,1.0,50,2.5620430528941305e-41,1.869303676100284
1.0,0.3,1,0.0739154887968062,0.5294212337757961
1.0,0.3,2,0.08160092396837598,0.5294212337757961
1.0,0.3,4,0.04994900504052109,0.5294212337757961
1.0,0.3,8,0.009523809648082936,0.5294212337757961
1.0,0.3,16,0.00018500096838845896,0.5294212337757961
1.0,0.3,32,4.329369682094816e-08,0.5294212337757961
1.0,0.3,50,3.1858987136904446e-12,0.5294212337757961
1.0,0.4,1,0.09510938296229288,0.6597397004409891
1.0,0.4,2,0.0892946229220846,0.6597397004409891
1.0,0.4,4,0.039758805378003574,0.6597397004409891
1.0,0.4,8,0.004099626383579489,0.6597397004409891
1.0,0.4,16,2.50342300246339e-05,0.6597397004409891
1.0,0.4,32,6.771241786287242e-10,0.6597397004409891
1.0,0.4,50,4.719736083311262e-15,0.6597397004409891
1.0,0.5,1,0.11116949962853012,0.7852583450449493
1.0,0.5,2,0.08902834417556146,0.7852583450449493
1.0,0.5,4,0.029098654892118946,0.7852583450449493
1.0,0.5,8,0.0016696090006447994,0.7852583450449493
1.0,0.5,16,3.4551831059225514e-06,0.7852583450449493
1.0,0.5,32,1.221449414015493e-11,0.7852583450449493
1.0,0.5,50,8.878330800690484e-18,0.7852583450449493
1.0,0.6,1,0.12220531435317117,0.9137356962197721
1.0,0.6,2,0.08308022315924153,0.9137356962197721
1.0,0.6,4,0.01981955031302655,0.9137356962197721
1.0,0.6,8,0.0006323705808796827,0.9137356962197721
1.0,0.6,16,4.4608470372301085e-07,0.9137356962197721
1.0,0.6,32,2.001816545649708e-13,0.9137356962197721
1.0,0.6,50,1.4403945024205707e-20,0.9137356962197721
1.0,0.7,1,0.12784940415973192,1.0557763173304433
1.0,0.7,2,0.07261782801928873,1.0557763173304433
1.0,0.7,4,0.012307408949709492,1.0557763173304433
1.0,0.7,8,0.0002092103850988881,1.0557763173304433
1.0,0.7,16,4.607119295480694e-08,1.0557763173304433
1.0,0.7,32,2.1253442922175787e-15,1.0557763173304433
1.0,0.7,50,1.1860651981713532e-23,1.0557763173304433
1.0,0.8,1,0.12638926538508977,1.2336246435021447
1.0,0.8,2,0.0576437188743988,1.2336246435021447
1.0,0.8,4,0.006455634041978067,1.2336246435021447
1.0,0.8,8,5.120932107933131e-05,1.2336246435021447
1.0,0.8,16,2.6782417842923404e-09,1.2336246435021447
1.0,0.8,32,7.174571721650322e-18,1.2336246435021447
1.0,0.8,50,1.62997607326361e-27,1.2336246435021447
1.0,0.9,1,0.11166437559776522,1.5219605429486127
1.0,0.9,2,0.036280051579293274,1.5219605429486127
1.0,0.9,4,0.002141079306522789,1.5219605429486127
1.0,0.9,8,5.137575047520997e-06,1.5219605429486127
1.0,0.9,16,2.656625848557237e-11,1.5219605429486127
1.0,0.9,32,7.057809056510656e-22,1.5219605429486127
1.0,0.9,50,8.934016004712397e-34,1.5219605429486127
1.0,1.0,1,0.06915609009611778,2.346718317602187
1.0,1.0,2,0.008451510800800786,2.346718317602187
1.0,1.0,4,8.332198548013863e-05,2.346718317602187
1.0,1.0,8,7.025064516604838e-09,2.346718317602187
1.0,1.0,16,4.935497597252181e-17,2.346718317602187
1.0,1.0,32,2.435913659180944e-33,2.346718317602187
1.0,1.0,50,1.100675258236907e-51,2.346718317602187
