r,eta,gamma,rate_per_mode
0.3,0.1,0.10472507345521934,0.30428476191871423
0.3,0.15,0.16088866395943105,0.4136443554353085
0.3,0.2,0.21983763672805762,0.5073799753870116
0.3,0.25,0.28178446830743675,0.5899848729873398
0.3,0.3,0.3469638101509812,0.66429428596738
0.3,0.35,0.4156354589461234,0.7322157431121111
0.3,0.4,0.48808781753429425,0.7950972234968781
0.3,0.45,0.564641943633261,0.8539294016658048
0.3,0.5,0.6456563062257954,0.9094643801264268
0.3,0.55,0.7315323982511265,0.9622892030379353
0.3,0.6,0.8227213910184318,1.012873415213716
0.3,0.65,0.9197320631117025,1.0616009976423069
0.3,0.7,1.0231402979570619,1.1087925214370373
0.3,0.75,1.1336005244683822,1.1547209752491008
0.3,0.8,1.2518595809266506,1.199623390795447
0.3,0.85,1.3787736228124372,1.243709619565826
0.3,0.9,1.5153288839263928,1.2871691511950987
0.3,0.95,1.662667355772189,1.3301765792450384
0.3,1.0,1.822118800390509,1.372896141679075
0.7,0.1,0.10814789526348335,0.31167962925948667
0.7,0.15,0.16911135076471032,0.4278223512142968
0.7,0.2,0.23548267200563813,0.5295650758544529
0.7,0.25,0.3080148263263102,0.621229115526171
0.7,0.3,0.3876073710426415,0.7055982281203558
0.7,0.35,0.4753439517461369,0.7845945032886954
0.7,0.4,0.572541931908129,0.8596244460086242
0.7,0.45,0.6808189935289028,0.9317727030991891
0.7,0.5,0.8021838885585817,1.0019190890627638
0.7,0.55,0.939162215465789,1.0708146895616326
0.7,0.6,1.0949740759236812,1.1391355754781742
0.7,0.65,1.273790420636038,1.207524709795346
0.7,0.7,1.4811119878966985,1.2766289428588558
0.7,0.75,1.7243451578559428,1.3471365746909174
0.7,0.8,2.013705424340024,1.4198211228826172
0.7,0.85,2.3636887179233774,1.4955987470679613
0.7,0.9,2.795575693538996,1.575611146924522
0.7,0.95,3.3419271782873916,1.6613551019592583
0.7,1.0,4.0551999668446745,1.7549003130151553
1.0,0.1,0.10946505727436245,0.314496414995012
1.0,0.15,0.172354302641465,0.43330531435088776
1.0,0.2,0.24181836090865347,0.5382765294150355
1.0,0.25,0.3189451556733346,0.6336936471210212
1.0,0.3,0.4050766446690746,0.7223539356858172
1.0,0.35,0.5018875639004745,0.8062267316637372
1.0,0.4,0.6114953980695789,0.8867946251014149
1.0,0.45,0.7366170464079267,0.9652485864700902
1.0,0.5,0.8807970779778823,1.0426109406296118
1.0,0.55,1.0487488882081113,1.119822173003093
1.0,0.6,1.246879761477636,1.1978117148680882
1.0,0.65,1.4841269174878686,1.277566643155334
1.0,0.7,1.7733429644660952,1.3602114616828276
1.0,0.75,2.133703782682782,1.4471163214686293
1.0,0.8,2.595142577135758,1.54006291933929
1.0,0.85,3.2071236993691388,1.6415256949779675
1.0,0.9,4.057677543413555,1.7551965718851825
1.0,0.95,5.320086681136403,1.8870776086693362
1.0,1.0,7.3890560989306495,2.0481084773623888
